Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
Company,Division A,Department 1,Team Alpha,Project X,Task 1,Subtask A,Detail I
Company,Division A,Department 1,Team Alpha,Project X,Task 1,Subtask A,Detail II
Company,Division A,Department 1,Team Alpha,Project X,Task 1,Subtask B,Detail III
Company,Division A,Department 1,Team Alpha,Project X,Task 2,Subtask C,Detail IV
Company,Division A,Department 1,Team Alpha,Project Y,Task 3,Subtask D,Detail V
Company,Division A,Department 1,Team Beta,Project Z,Task 4,Subtask E,Detail VI
Company,Division A,Department 2,Team Gamma,Project A,Task 5,Subtask F,Detail VII
Company,Division A,Department 2,Team Gamma,Project B,Task 6,Subtask G,Detail VIII
Company,Division A,Department 2,Team Delta,Project C,Task 7,Subtask H,Detail IX
Company,Division B,Department 3,Team Epsilon,Project D,Task 8,Subtask I,Detail X
Company,Division B,Department 3,Team Epsilon,Project D,Task 8,Subtask J,Detail XI
Company,Division B,Department 3,Team Zeta,Project E,Task 9,Subtask K,Detail XII
Company,Division B,Department 4,Team Eta,Project F,Task 10,Subtask L,Detail XIII
Company,Division B,Department 4,Team Theta,Project G,Task 11,Subtask M,Detail XIV
Company,Division C,Department 5,Team Iota,Project H,Task 12,Subtask N,Detail XV
Company,Division C,Department 5,Team Kappa,Project I,Task 13,Subtask O,Detail XVI
Company,Division C,Department 6,Team Lambda,Project J,Task 14,Subtask P,Detail XVII
Company,Division C,Department 6,Team Mu,Project K,Task 15,Subtask Q,Detail XVIII
Company,Division D,Department 7,Team Nu,Project L,Task 16,Subtask R,Detail XIX
Company,Division D,Department 7,Team Xi,Project M,Task 17,Subtask S,Detail XX
Company,Division D,Department 8,Team Omicron,Project N,Task 18,Subtask T,Detail XXI
Company,Division D,Department 8,Team Pi,Project O,Task 19,Subtask U,Detail XXII
Company,Division E,Department 9,Team Rho,Project P,Task 20,Subtask V,Detail XXIII
Company,Division E,Department 9,Team Sigma,Project Q,Task 21,Subtask W,Detail XXIV
Company,Division E,Department 10,Team Tau,Project R,Task 22,Subtask X,Detail XXV
Company,Division E,Department 10,Team Upsilon,Project S,Task 23,Subtask Y,Detail XXVI
Company,Division F,Department 11,Team Phi,Project T,Task 24,Subtask Z,Detail XXVII
Company,Division F,Department 11,Team Chi,Project U,Task 25,Subtask AA,Detail XXVIII
Company,Division F,Department 12,Team Psi,Project V,Task 26,Subtask AB,Detail XXIX
Company,Division F,Department 12,Team Omega,Project W,Task 27,Subtask AC,Detail XXX
